Date,Close,F
24/03/2005,11.29,0.02693161
23/03/2005,10.99,-0.016245845
22/03/2005,11.17,-0.02998461
21/03/2005,11.51,0.010480445
18/03/2005,11.39,-0.024285669
17/03/2005,11.67,-0.020356937
16/03/2005,11.91,-0.026513566
15/03/2005,12.23,-0.012997746
14/03/2005,12.39,0
11/03/2005,12.39,0.001615509
10/03/2005,12.37,0.002428168
09/03/2005,12.34,-0.008874604
08/03/2005,12.45,-0.005606743
07/03/2005,12.52,0.009630893
04/03/2005,12.4,-0.008032172
03/03/2005,12.5,0.002402885
02/03/2005,12.47,-0.015911235
01/03/2005,12.67,0.001579779
28/02/2005,12.65,-0.027292142
25/02/2005,13,0.015504187
24/02/2005,12.8,-0.000780945
23/02/2005,12.81,0.003910838
22/02/2005,12.76,-0.015552413
18/02/2005,12.96,-0.003081667
17/02/2005,13,-0.019048195
16/02/2005,13.25,0.006815627
15/02/2005,13.16,0.004569696
14/02/2005,13.1,0.003058106
11/02/2005,13.06,-0.003058106
10/02/2005,13.1,-0.001525553
09/02/2005,13.12,-0.003044142
08/02/2005,13.16,-0.019564206
07/02/2005,13.42,0.015015297
04/02/2005,13.22,0.008355537
03/02/2005,13.11,-0.012130551
02/02/2005,13.27,0.014421502
01/02/2005,13.08,-0.00685717
31/01/2005,13.17,0.002280503
28/01/2005,13.14,-0.003797954
27/01/2005,13.19,-0.012057418
26/01/2005,13.35,0.009029407
25/01/2005,13.23,0.01216745
24/01/2005,13.07,-0.00305577
21/01/2005,13.11,-0.026347026
20/01/2005,13.46,-0.034322464
19/01/2005,13.93,-0.010710563
18/01/2005,14.08,0.001421464
14/01/2005,14.06,-0.001421464
13/01/2005,14.08,-0.016901811
12/01/2005,14.32,-0.007652211
11/01/2005,14.43,-0.008281621
10/01/2005,14.55,-0.006849342
07/01/2005,14.65,0.013745921
06/01/2005,14.45,0.001385042
05/01/2005,14.43,-0.015813324
04/01/2005,14.66,-0.003404838
03/01/2005,14.71,0.004770026
31/12/2004,14.64,-0.010869672
30/12/2004,14.8,0.004062294
29/12/2004,14.74,-0.009453143
28/12/2004,14.88,0.009453143
27/12/2004,14.74,-0.004062294
23/12/2004,14.8,-0.002024975
22/12/2004,14.83,0.008124622
