Date,Close,CI
08/10/2010,35.42,0.001412629
07/10/2010,35.37,0.022588523
06/10/2010,34.58,-0.035230916
05/10/2010,35.82,0.018597324
04/10/2010,35.16,-0.024442852
01/10/2010,36.03,0.006962847
30/09/2010,35.78,0.012373611
29/09/2010,35.34,-0.005643356
28/09/2010,35.54,-0.00280978
27/09/2010,35.64,-0.010328075
24/09/2010,36.01,0.024456595
23/09/2010,35.14,-0.009347186
22/09/2010,35.47,-0.003377431
21/09/2010,35.59,0.01728823
20/09/2010,34.98,0.014687089
17/09/2010,34.47,-0.004919703
16/09/2010,34.64,-0.000288642
15/09/2010,34.65,-0.012048339
14/09/2010,35.07,-0.005403113
13/09/2010,35.26,0.017740093
10/09/2010,34.64,0.007243259
09/09/2010,34.39,0.021752768
08/09/2010,33.65,0.00506481
07/09/2010,33.48,-0.008328424
03/09/2010,33.76,0.022163231
02/09/2010,33.02,-0.016519372
01/09/2010,33.57,0.041045433
31/08/2010,32.22,0.009667937
30/08/2010,31.91,-0.018935844
27/08/2010,32.52,0.016119382
26/08/2010,32,-0.010259689
