Date,Close,R
28/09/2011,38.76,-0.045146994
27/09/2011,40.55,0.029531676
26/09/2011,39.37,0.011752818
23/09/2011,38.91,-0.002053916
22/09/2011,38.99,-0.043414169
21/09/2011,40.72,-0.061202289
20/09/2011,43.29,-0.031604313
19/09/2011,44.68,-0.014443091
16/09/2011,45.33,-0.009222727
15/09/2011,45.75,0.015862857
14/09/2011,45.03,0.023366599
13/09/2011,43.99,0.033517526
12/09/2011,42.54,-0.004924386
09/09/2011,42.75,-0.035615482
08/09/2011,44.3,-0.016788307
07/09/2011,45.05,0.04610786
06/09/2011,43.02,-0.030447585
02/09/2011,44.35,-0.039133987
01/09/2011,46.12,-0.020601587
31/08/2011,47.08,0.008746722
30/08/2011,46.67,0.026488739
29/08/2011,45.45,0.023823903
26/08/2011,44.38,0.046820496
25/08/2011,42.35,-0.014999109
24/08/2011,42.99,0.02187036
23/08/2011,42.06,0.035082829
22/08/2011,40.61,-0.006137248
19/08/2011,40.86,-0.035580676
18/08/2011,42.34,-0.081386233
17/08/2011,45.93,0.003926707
16/08/2011,45.75,-0.025465338
15/08/2011,46.93,0.015460905
12/08/2011,46.21,0.013288508
11/08/2011,45.6,0.045998013
10/08/2011,43.55,-0.033863281
09/08/2011,45.05,0.05474571
08/08/2011,42.65,-0.127711441
05/08/2011,48.46,-0.009856343
04/08/2011,48.94,-0.063529123
03/08/2011,52.15,-0.011818666
02/08/2011,52.77,-0.057084716
01/08/2011,55.87,-0.008022148
29/07/2011,56.32,-0.014454685
28/07/2011,57.14,-0.012867505
27/07/2011,57.88,0.003981655
26/07/2011,57.65,-0.016003095
25/07/2011,58.58,-0.00085317
22/07/2011,58.63,-0.002044642
21/07/2011,58.75,0.011986445
20/07/2011,58.05,0.008476826
19/07/2011,57.56,0.016289002
18/07/2011,56.63,-0.006863203
15/07/2011,57.02,0.007216435
14/07/2011,56.61,-0.003702728
13/07/2011,56.82,0.004409567
12/07/2011,56.57,-0.017001549
11/07/2011,57.54,-0.009341012
08/07/2011,58.08,-0.021630751
07/07/2011,59.35,0.023871551
06/07/2011,57.95,0.004323396
05/07/2011,57.7,-0.015477523
01/07/2011,58.6,0.030318476
30/06/2011,56.85,0.033083035
29/06/2011,55,0.009499523
28/06/2011,54.48,0.023775265
27/06/2011,53.2,0.008494624
24/06/2011,52.75,-0.02026716
23/06/2011,53.83,0.00652318
22/06/2011,53.48,-0.008749939
21/06/2011,53.95,0.025151476
20/06/2011,52.61,0.021324408
17/06/2011,51.5,0.010737048
16/06/2011,50.95,0.002554782
15/06/2011,50.82,-0.015619216
14/06/2011,51.62,0.014046271
13/06/2011,50.9,0.008880177
10/06/2011,50.45,-0.016318066
09/06/2011,51.28,0.016318066
08/06/2011,50.45,-0.004943164
07/06/2011,50.7,-0.01020417
06/06/2011,51.22,-0.016842911
03/06/2011,52.09,-0.022212589
02/06/2011,53.26,0.007538671
01/06/2011,52.86,-0.039686276
31/05/2011,55,0.010050336
27/05/2011,54.45,-0.006407345
